,latBin,lonBin,updated_type,updated_subtype,counts
6073,41.87,-87.65,Hazard,On road,476
9428,41.96,-87.69,Jam,Heavy traffic,470
8656,41.94,-87.66,Road_closed,Unclassified,470
3160,41.78,-87.64,Jam,Stand still traffic,469
4819,41.83,-87.64,Jam,Unclassified,469
531,41.68,-87.61,Jam,Heavy traffic,469
5355,41.85,-87.65,Hazard,On road pot hole,464
7788,41.92,-87.68,Jam,Unclassified,463
4710,41.83,-87.69,Jam,Stand still traffic,462
241,41.660000000000004,-87.59,Hazard,On shoulder car stopped,462
6135,41.87,-87.63,Jam,Heavy traffic,461
10221,41.980000000000004,-87.8,Jam,Unclassified,460
8239,41.93,-87.67,Jam,Stand still traffic,458
9350,41.96,-87.73,Jam,Heavy traffic,457
6072,41.87,-87.65,Accident,Unclassified,454
7386,41.910000000000004,-87.69,Jam,Stand still traffic,452
7518,41.910000000000004,-87.63,Jam,Stand still traffic,450
6075,41.87,-87.65,Hazard,On road construction,447
10128,41.980000000000004,-87.84,Jam,Stand still traffic,447
6711,41.89,-87.66,Hazard,On road construction,445
5433,41.85,-87.62,Jam,Heavy traffic,443
10662,41.99,-87.76,Hazard,On shoulder car stopped,442
6364,41.88,-87.67,Hazard,On road construction,442
9075,41.95,-87.67,Jam,Stand still traffic,441
9515,41.96,-87.65,Jam,Stand still traffic,441
5992,41.87,-87.69,Jam,Stand still traffic,440
1117,41.71,-87.62,Jam,Heavy traffic,440
5730,41.86,-87.62,Hazard,On shoulder car stopped,435
1561,41.730000000000004,-87.63,Jam,Stand still traffic,434
10064,41.980000000000004,-87.88,Hazard,On shoulder car stopped,433
7054,41.9,-87.67,Accident,Unclassified,432
5657,41.86,-87.65,Accident,Unclassified,429
6141,41.87,-87.63,Road_closed,Unclassified,429
7115,41.9,-87.65,Jam,Stand still traffic,428
8905,41.95,-87.75,Hazard,On shoulder car stopped,428
10668,41.99,-87.76,Jam,Stand still traffic,427
751,41.69,-87.60000000000001,Jam,Stand still traffic,424
6817,41.89,-87.62,Jam,Unclassified,424
4354,41.82,-87.73,Jam,Stand still traffic,423
4367,41.82,-87.72,Hazard,On road pot hole,422
6990,41.9,-87.71000000000001,Jam,Heavy traffic,421
1852,41.74,-87.63,Jam,Stand still traffic,420
8490,41.94,-87.74,Jam,Stand still traffic,420
9876,41.97,-87.71000000000001,Jam,Heavy traffic,419
6709,41.89,-87.66,Hazard,On road,419
5149,41.84,-87.62,Jam,Stand still traffic,418
8962,41.95,-87.73,Jam,Unclassified,418
5949,41.87,-87.71000000000001,Jam,Stand still traffic,416
7113,41.9,-87.65,Jam,Heavy traffic,415
9352,41.96,-87.73,Jam,Stand still traffic,415
2127,41.75,-87.63,Jam,Stand still traffic,415
1098,41.71,-87.63,Jam,Stand still traffic,414
5660,41.86,-87.65,Hazard,On road construction,413
10100,41.980000000000004,-87.85000000000001,Hazard,On shoulder car stopped,411
5658,41.86,-87.65,Hazard,On road,410
10874,41.99,-87.66,Jam,Stand still traffic,408
7716,41.92,-87.71000000000001,Jam,Stand still traffic,408
8300,41.93,-87.64,Jam,Stand still traffic,408
8590,41.94,-87.69,Jam,Heavy traffic,407
6375,41.88,-87.67,Jam,Stand still traffic,407
5716,41.86,-87.63,Jam,Stand still traffic,407
5083,41.84,-87.64,Hazard,On road,406
10173,41.980000000000004,-87.82000000000001,Jam,Unclassified,406
6477,41.88,-87.62,Hazard,On road construction,401
5348,41.85,-87.65,Hazard,On road,398
5972,41.87,-87.7,Jam,Stand still traffic,397
9430,41.96,-87.69,Jam,Stand still traffic,392
10446,41.980000000000004,-87.67,Hazard,On road construction,392
9471,41.96,-87.67,Jam,Heavy traffic,391
9894,41.97,-87.7,Jam,Heavy traffic,388
6401,41.88,-87.65,Accident,Unclassified,387
6794,41.89,-87.63,Jam,Unclassified,385
8628,41.94,-87.67,Jam,Heavy traffic,381
6160,41.87,-87.62,Jam,Unclassified,381
6005,41.87,-87.68,Hazard,On road pot hole,380
10872,41.99,-87.66,Jam,Heavy traffic,378
8117,41.93,-87.72,Hazard,On road construction,375
8572,41.94,-87.7,Jam,Heavy traffic,375
2169,41.75,-87.60000000000001,Hazard,On shoulder car stopped,374
9293,41.96,-87.75,Hazard,On road,374
9411,41.96,-87.7,Road_closed,Unclassified,372
2436,41.76,-87.61,Hazard,On shoulder car stopped,372
10809,41.99,-87.69,Jam,Heavy traffic,371
6778,41.89,-87.63,Hazard,On road,371
6702,41.89,-87.67,Jam,Stand still traffic,371
9979,41.97,-87.66,Jam,Heavy traffic,370
9981,41.97,-87.66,Jam,Stand still traffic,369
8630,41.94,-87.67,Jam,Stand still traffic,368
7384,41.910000000000004,-87.69,Jam,Heavy traffic,364
7341,41.910000000000004,-87.71000000000001,Jam,Heavy traffic,363
6750,41.89,-87.65,Jam,Unclassified,362
4800,41.83,-87.64,Hazard,On road,361
7752,41.92,-87.69,Hazard,On road pot hole,361
9405,41.96,-87.7,Jam,Heavy traffic,359
9915,41.97,-87.69,Jam,Stand still traffic,359
8274,41.93,-87.65,Jam,Heavy traffic,357
7476,41.910000000000004,-87.65,Jam,Stand still traffic,356
6140,41.87,-87.63,Road_closed,Event,356
6079,41.87,-87.65,Hazard,On road object,354
8608,41.94,-87.68,Jam,Heavy traffic,353
5147,41.84,-87.62,Jam,Heavy traffic,352
10790,41.99,-87.7,Jam,Stand still traffic,349
7410,41.910000000000004,-87.68,Jam,Unclassified,349
5802,41.87,-87.77,Jam,Unclassified,349
5354,41.85,-87.65,Hazard,On road object,348
9956,41.97,-87.67,Jam,Heavy traffic,348
6031,41.87,-87.67,Hazard,On road pot hole,347
5864,41.87,-87.74,Hazard,On road pot hole,345
10666,41.99,-87.76,Jam,Heavy traffic,345
7055,41.9,-87.67,Hazard,On road,344
4355,41.82,-87.73,Jam,Unclassified,342
9257,41.96,-87.77,Jam,Heavy traffic,342
10486,41.980000000000004,-87.66,Jam,Unclassified,341
8668,41.94,-87.65,Hazard,On shoulder car stopped,340
9513,41.96,-87.65,Jam,Heavy traffic,340
4661,41.83,-87.71000000000001,Hazard,On shoulder car stopped,340
6478,41.88,-87.62,Hazard,On road emergency vehicle,339
8137,41.93,-87.71000000000001,Hazard,On road construction,339
4060,41.81,-87.74,Jam,Stand still traffic,335
8592,41.94,-87.69,Jam,Stand still traffic,334
5347,41.85,-87.65,Accident,Unclassified,333
2815,41.77,-87.63,Jam,Stand still traffic,333
9259,41.96,-87.77,Jam,Stand still traffic,333
9329,41.96,-87.74,Jam,Heavy traffic,332
5077,41.84,-87.65,Jam,Unclassified,331
6468,41.88,-87.63,Jam,Unclassified,330
9331,41.96,-87.74,Jam,Stand still traffic,329
8276,41.93,-87.65,Jam,Stand still traffic,329
10769,41.99,-87.71000000000001,Jam,Stand still traffic,329
5026,41.84,-87.67,Jam,Heavy traffic,329
9780,41.97,-87.75,Hazard,On road construction,327
5082,41.84,-87.64,Accident,Unclassified,326
9096,41.95,-87.66,Jam,Stand still traffic,324
6742,41.89,-87.65,Hazard,On shoulder car stopped,324
4028,41.81,-87.75,Hazard,On road pot hole,324
6954,41.9,-87.73,Jam,Heavy traffic,324
5089,41.84,-87.64,Hazard,On road object,323
6373,41.88,-87.67,Jam,Heavy traffic,322
4229,41.81,-87.63,Jam,Heavy traffic,322
9473,41.96,-87.67,Jam,Stand still traffic,321
9113,41.95,-87.65,Hazard,On shoulder car stopped,320
8652,41.94,-87.66,Jam,Stand still traffic,320
6107,41.87,-87.64,Hazard,On shoulder car stopped,319
4040,41.81,-87.75,Jam,Unclassified,318
6802,41.89,-87.62,Hazard,On road construction,318
10198,41.980000000000004,-87.81,Jam,Unclassified,318
6772,41.89,-87.64,Jam,Unclassified,317
1901,41.74,-87.59,Hazard,On shoulder car stopped,317
8979,41.95,-87.72,Jam,Heavy traffic,317
5592,41.86,-87.69,Jam,Heavy traffic,316
939,41.7,-87.59,Hazard,On shoulder car stopped,313
5381,41.85,-87.64,Hazard,On shoulder car stopped,313
7423,41.910000000000004,-87.67,Hazard,On road pot hole,311
9853,41.97,-87.72,Hazard,On road pot hole,308
7415,41.910000000000004,-87.67,Accident,Unclassified,308
9052,41.95,-87.68,Jam,Heavy traffic,308
10273,41.980000000000004,-87.77,Jam,Heavy traffic,307
9585,41.97,-87.88,Hazard,On shoulder car stopped,306
9494,41.96,-87.66,Jam,Stand still traffic,306
7141,41.9,-87.63,Hazard,On road,305
8514,41.94,-87.73,Jam,Unclassified,304
7132,41.9,-87.64,Jam,Heavy traffic,303
6451,41.88,-87.63,Hazard,On road,301
7474,41.910000000000004,-87.65,Jam,Heavy traffic,300
6118,41.87,-87.64,Road_closed,Unclassified,299
7052,41.9,-87.67,Accident,Major,299
3394,41.79,-87.75,Jam,Stand still traffic,299
3974,41.800000000000004,-87.59,Hazard,On shoulder car stopped,298
9878,41.97,-87.71000000000001,Jam,Stand still traffic,298
10275,41.980000000000004,-87.77,Jam,Stand still traffic,296
7416,41.910000000000004,-87.67,Hazard,On road,296
736,41.69,-87.60000000000001,Hazard,On road construction,296
